id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,rating
34543978,Capital Hill Entire Lux Condo 1 Block Metro/8/60D,19131071,Lily,,"Capitol Hill, Lincoln Park",38.88217,-76.99119,Entire home/apt,250,60,0,,,27,358,0,,
34544864,Capital Hill Luxury Condo MBR/1 BlockMetro/90D/2,19131071,Lily,,"Capitol Hill, Lincoln Park",38.88125,-76.98338,Private room,70,90,0,,,27,365,0,,
34545921,Capital Hill/Entire 3BRM Condo/1 BlockMetro/31D/6,19131071,Lily,,"Capitol Hill, Lincoln Park",38.8794,-76.9835,Entire home/apt,150,31,0,,,27,89,0,,
34546190,Capital Hill New Condo/1BlockMetro/3BRM/1Ba/3/31D,19131071,Lily,,"Capitol Hill, Lincoln Park",38.88429,-76.98985,Entire home/apt,150,31,0,,,27,365,0,,
34546557,Beautiful in-law unit Near Brookland/Bloomingdale,179827733,Carlos,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91936,-77.00192,Entire home/apt,73,1,16,7/11/2021,0.59,2,150,9,,4.25
34568695,Clean&Cozy English Basement,35990837,NJay,,"Capitol View, Marshall Heights, Benning Heights",38.88675,-76.92335,Entire home/apt,83,2,24,9/13/2021,1.07,1,258,17,,5
34594785,Bpeace guest house:unit 1,261002058,Selamawit,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92732,-77.02619,Entire home/apt,100,4,42,7/5/2021,1.72,1,94,13,,4.5
34602170,Restored Home in SE DC | Private Room + Bath 🚿,2774098,K,,"Sheridan, Barry Farm, Buena Vista",38.86238,-76.99315,Private room,80,1,15,9/10/2021,0.66,1,82,1,,4.8
34602332,Charming 1BR in NW Washington 1mi to Logan Circle,48005494,Zeus,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92012,-77.03466,Entire home/apt,123,30,3,12/21/2020,0.14,163,271,1,,5
34603252,"Yogi's abode, near Union Station, H St., Downtown",65175090,Katie,,"Union Station, Stanton Park, Kingman Park",38.89998,-76.99014,Private room,47,2,25,3/13/2020,0.97,3,0,0,,4.68
